name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Vuskovic,TOT,DEF,4.0,Available,0,0,0,0.0,1.6
Son,TOT,MID,8.5,NotAvail,2106,129,12,4.3,1.2
Johnson,TOT,MID,7.0,Available,2171,137,13,4.2,4.1
Maddison,TOT,MID,7.0,Injured,1799,133,15,4.3,1.1
Kudus,TOT,MID,6.5,Available,2589,106,5,3.3,23.8
Kulusevski,TOT,MID,6.5,Injured,2386,117,9,3.7,0.0
Tel,TOT,MID,6.5,Available,908,42,2,3.2,0.2
Bentancur,TOT,MID,5.5,Available,1640,49,1,1.9,0.1
Bergvall,TOT,MID,5.5,Available,1200,44,0,1.6,0.2
Bissouma,TOT,MID,5.5,Available,1396,50,4,1.8,0.1
Odobert,TOT,MID,5.5,Available,843,34,3,2.1,0.1
Solomon,TOT,MID,5.5,Doubtful,0,0,0,0.0,0.0
Bryan,TOT,MID,5.0,Available,0,0,0,0.0,0.1
Gray,TOT,MID,5.0,Available,1750,45,0,1.6,0.2
Moore,TOT,MID,5.0,NotAvail,359,19,0,1.9,0.0
P.M.Sarr,TOT,MID,5.0,Available,1901,71,4,2.0,2.2
Min-hyeok,TOT,MID,4.5,NotAvail,0,0,0,0.0,0.1
Olusesi,TOT,MID,4.5,Available,0,0,0,0.0,0.2
Solanke,TOT,FWD,7.5,Available,2199,108,7,4.0,6.4
Richarlison,TOT,FWD,6.5,Available,497,35,0,2.3,1.1
Lankshear,TOT,FWD,4.5,NotAvail,10,3,0,1.0,0.2
Scarlett,TOT,FWD,4.5,Available,31,6,0,2.0,0.8
J.Palhinha,TOT,MID,5.5,Available,0,0,0,0.0,0.3
Areola,WHU,GKP,4.5,Available,2259,69,1,2.7,5.3
Foderingham,WHU,GKP,4.0,Available,0,0,0,0.0,0.7
Hegyi,WHU,GKP,4.0,Available,0,0,0,0.0,0.4
Diouf,WHU,DEF,4.5,Available,0,0,0,0.0,5.8
Emerson,WHU,DEF,4.5,Available,2108,76,4,2.5,0.2
Kilman,WHU,DEF,4.5,Available,3348,82,5,2.2,0.4
Mavropanos,WHU,DEF,4.5,Available,2035,45,4,1.4,0.1
N.Aguerd,WHU,DEF,4.5,Available,0,0,0,0.0,0.1
Scarles,WHU,DEF,4.5,Available,659,29,2,1.9,0.0
